Quarter,Campus,Item,Course.ID,Title,CREDIT,TYPE.days,Time,Room,Instructor,Enrolled,divider,classCap,Wait.List,FTES.TOTAL,FTES.STATE,Clustered,Type
Fall 2012,South,2727,HDM 171  02,LIFT TRUCK OPERATOR,2,MTW,7:00 AM,HDM0204,Cancelled ,2,/,20,0,0,0,,
Fall 2012,South,2760,HDM 298  01,ADV SPECIAL TOPICS HD RE,10,DAILY,7:00 AM,HDM0204,Clapper ,1,/,5,0,0.1,0.1,,
Fall 2012,South,2901,AMT 111  01,BASIC SCI. FOR AVIATION,17,DAILY,7:00 AM,AMT0208,Bennett ,25,/,30,0,28.3,24.9,,
Fall 2012,South,2902,AMT 111  02,BASIC SCI. FOR AVIATION,17,DAILY,2:00 PM,AMT0208,Bentley Jame,24,/,30,0,27.2,26.1,,
Fall 2012,South,2904,AMT 112  02,BASIC ELEC. FOR AVIATION,17,DAILY,2:00 PM,AMT0208,"Hadley, M. ",22,/,25,0,24.9,23.8,,
Fall 2012,South,2907,AMT 113  01,AIRFRAME STRUCTURE,17,DAILY,2:00 PM,AMT0206,Daehne ,16,/,25,0,18.1,17,,
Fall 2012,South,2913,AMT 215  01,ADVANCED AIRFRAME,17,DAILY,2:00 PM,RAH0119,"Paholke, B ",14,/,14,0,15.9,15.9,2913B232,
Fall 2012,South,2915,AMT 133  01,POWERPLANT THEORY & MAIN,17,DAILY,7:00 AM,AMT0206,Amaratunge ,20,/,25,0,22.7,22.7,,
Fall 2012,South,2918,AMT 234  01,POWERPLANT SYS & COMPONT,17,DAILY,7:00 AM,AMT0104,Klevstad ,23,/,25,0,26.1,24.9,,
Fall 2012,South,2921,AMT 235  01,ADVANCED POWERPLANT,17,DAILY,7:00 AM,AMT,Prociv ,22,/,25,0,24.9,24.9,,
Fall 2012,South,3105,WAR 165  02,BRICKLAYERS 2ND YEAR,4,DAILY,7:00 AM,GTD,"West, D. ",21,/,22,0,5.6,5.6,,
Fall 2012,South,3110,WAR 194  01,"POINTER, CLEANNER, CAULK",8,DAILY,7:00 AM,GTD,"Charest,J ",6,/,20,0,3.2,3.2,,
Fall 2012,South,3116,WAR 168  02,TILE SETTERS & FINISHERS,8,DAILY,7:00 AM,GTD,"Charest,J ",14,/,20,0,7.5,7.5,,
Fall 2012,South,3120,BMK 101  01,BMK BASIC I,6,MW,4:00 PM,DWB0122,"Bosco, J ",3,/,5,0,1.2,1.2,3120B232,
Fall 2012,South,3123,BMK 104  01,BMD INTER. II,6,MW,4:00 PM,DWB0122,"Bosco, J ",3,/,5,0,1.2,1.2,3120B232,
